ሣቇሿቂሴ;ሁሀሀ;ሁሀ;ሀ;ሀ;ሁ;ሄ;ሁ;ህህ;ሖሑሜሣሕ;ሀ;ሁሀሀ
ሣቇሿቂሴ;ሁሀሀ;ሁሀ;ሀ;ሀ;ሁ;ሄ;ሁ;ህህ;ሖሑሜሣሕ;ሀ;ሁሀሀ
ሧሱቂሸሱሽሽስቂ;ሁህሀ;ሁሇ;ሀ;ሀ;ሁ;ሄ;ሂ;ሄህ;ሖሑሜሣሕ;ሀ;ሁሀሀ
ሣቀስሱቂ;ሇህ;ለ;ሀ;ሀ;ሁ;ሄ;ሃ;ሆህ;ሖሑሜሣሕ;ሀ;ሁሀሀ
ሜሿሾሷሲሿቇ;ሁሀህ;ለ;ሀ;ሀ;ሁ;ሄ;ሄ;ህህ;ሖሑሜሣሕ;ሁ;ሁሀሀ
ሠሹቃቄሿሼ;ህሀ;ሇ;ሀ;ሀ;ሃ;ሄ;ህ;ለህ;ሖሑሜሣሕ;ሃ;ሁሀሀ
ማሾሹቆስቃ;ሄሀ;ህ;ሀ;ሀ;ሂ;ሄ;ሆ;ሇህ;ሖሑሜሣሕ;ሂ;ሁሀሀ
ሣቀስሼሼሲሿሼቄ;ሉህ;ሆ;ሁሀ;ሀ;ሁ;ሄ;ሇ;ሆሀ;ሖሑሜሣሕ;ሀ;ሁሀሀ
ሣሿቅሼᇰሤቇሹቃቄስቂ;ሁህሀ;ሁሀ;ሁሃ;ሀ;ሁ;ሄ;ለ;ሄህ;ሖሑሜሣሕ;ሀ;ሁሀሀ
ሖሹቂስሲሱሼሼ;ሁሀሃ;ሁሀ;ለ;ሀ;ሁ;ሃ;ሉ;ሇሀ;ሖሑሜሣሕ;ሀ;ሁሀሀ
ማሱቄሱሾሱ;ሁሂሀ;ሁሁ;ሀ;ሀ;ሁ;ሄ;ሁ;ሇህ;ሖሑሜሣሕ;ሀ;ሇህ
ሣሸሿቂቄሲሿቇ;ለሀ;ሆ;ሀ;ሀ;ሁ;ሄ;ሄ;ሇሀ;ሖሑሜሣሕ;ሁ;ለሀ
ምሱሳስ;ሁሃሀ;ሁሂ;ሀ;ሀ;ሁ;ሄ;ሂ;ሆሀ;ሖሑሜሣሕ;ሀ;ሉህ
ሗቂስሱቄሱቈስ;ሆሀ;ሁሀ;ሀ;ሀ;ሂ;ሄ;ሂ;ህህ;ሖሑሜሣሕ;ሀ;ሆህ
ሑቃቃሱቅሼቄᇰሢሹሶሼስ;ሂሀ;ሉ;ሀ;ሀ;ሇ;ሄ;ህ;ሇሀ;ሖሑሜሣሕ;ሇ;ሁሀሀ
ሖሼሱሽስᇰሚስቄ;ሄህ;ለ;ሁሄ;ሀ;ህ;ሃ;ሉ;ህህ;ሖሑሜሣሕ;ሀ;ሄህ
ሣሸሿቄሷቅሾ;ሁሄሀ;ሁህ;ሀ;ሀ;ሁ;ሄ;ህ;ሄህ;ሖሑሜሣሕ;ሁ;ሆሀ
ሒሼሱሳሻᇰሜሹሷሸቄሾሹሾሷ;ሁሃሀ;ሁሄ;ሁሆ;ሀ;ሁ;ሄ;ለ;ሉህ;ሖሑሜሣሕ;ሀ;ለህ
ም቉ቃቄሹሳሱሼᇰመሱቄሳሸስቄ;ሁሀህ;ሉ;ሁሂ;ሀ;ሁ;ሁ;ሇ;ሇህ;ሖሑሜሣሕ;ሀ;ሃህ
ሣሳሹሽሹቄሱቂ;ሁሀሀ;ሁሁ;ሀ;ሀ;ሁ;ሃ;ሁ;ሆህ;ሖሑሜሣሕ;ሀ;ሇህ
ሤሸቅሾሴስቂ;ሁሁሀ;ሉ;ሁሁ;ሀ;ሁ;ሄ;ሇ;ሆህ;ሖሑሜሣሕ;ሀ;ሆሀ
ሧሸሹቀ;ሁሀህ;ሁሀ;ሀ;ሀ;ሁ;ሄ;ሃ;ሆሀ;ሖሑሜሣሕ;ሀ;ሂህ
ሖሼሱሹሼ;ህህ;ሁሀ;ሀ;ሀ;ሂ;ሄ;ሁ;ለህ;ሖሑሜሣሕ;ሀ;ሄህ
ሩሿᇽሩሿ;ሃሀ;ሇ;ሀ;ሀ;ሂ;ሄ;ሃ;ሆህ;ሖሑሜሣሕ;ሀ;ሃሀ
ሤቂሱሶሶሹሳᇰሓሿሾስ;ሂሀ;ሄ;ሀ;ሀ;ሂ;ሄ;ሁ;ህሀ;ሖሑሜሣሕ;ሀ;ሂሀ
ሣቅቀስቂᇽሣሼስሴሷስ;ሁለሀ;ሁሇ;ሀ;ሀ;ሁ;ሄ;ሂ;ሃህ;ሖሑሜሣሕ;ሀ;ሉህ
ሓሱቂሴቃ;ሂህ;ሇ;ሀ;ሀ;ሄ;ሄ;ሆ;ሆህ;ሖሑሜሣሕ;ሄ;ሁሀ
ሔሱቂቄቃ;ሃሀ;ለ;ሀ;ሀ;ህ;ሄ;ሆ;ሇህ;ሖሑሜሣሕ;ህ;ሄህ
ሓቂሿቃቃሲሿቇ;ሁሂሀ;ሁሂ;ሀ;ሀ;ሁ;ሄ;ሄ;ሆህ;ሖሑሜሣሕ;ሁ;ሁሀሀ
ሜሹሶስᇰሜስስሳሸ;ህሀ;ሇ;ሁሄ;ሂህ;ሁ;ሂ;ሇ;ለህ;ሖሑሜሣሕ;ሀ;ህሀ
ሦሿሼሳሱሾሿᇰሣቄሱሶሶ;ሁሇሀ;ሂህ;ሁሇ;ሀ;ሁ;ሃ;ሉ;ሉህ;ሖሑሜሣሕ;ሀ;ሃሀ
ምስሱቄ;ለሀ;ሁሂ;ሀ;ሀ;ሁ;ሂ;ሂ;ሇህ;ሖሑሜሣሕ;ሀ;ሁህ
ሤቂሹᇽሒስሱሽ;ለሀ;ህ;ሁሂ;ሀ;ሃ;ሄ;ሇ;ሇህ;ሖሑሜሣሕ;ሀ;ህህ
ሞቅሾሳሸቅሳሻቃ;ሇሀ;ሁሀ;ሀ;ሀ;ሂ;ሁ;ሁ;ሇህ;ሖሑሜሣሕ;ሀ;ሆሀ
ሣምሗ;ሄህ;ሁሀ;ሀ;ሀ;ሇ;ሃ;ህ;ህህ;ሖሑሜሣሕ;ሇ;ሁሀሀ
